tabela,coluna
branches,branch_id
branches,branch_name
branches,destination_type
branches,city
branches,state
deliveries,delivery_id
deliveries,order_id
deliveries,delivery_status
deliveries,delivery_datetime
deliveries,receiver_name
deliveries,occurrence
expeditions,expedition_id
expeditions,order_id
expeditions,expedition_date
expeditions,vehicle_plate
expeditions,route_name
invoices,invoice_id
invoices,order_id
invoices,invoice_number
invoices,billing_date
invoices,total_value
order_items,order_item_id
order_items,order_id
order_items,product_id
order_items,quantity
orders,order_id
orders,branch_id
orders,order_status
orders,separation_user
products,product_id
products,product_name
products,category
products,barcode
users,id
users,full_name
users,username
users,password
users,role
users,phone
users,position
users,education
users,birth_date
users,id_document
users,employee_id
users,vehicle_plate
