schema_name,table_name,column_name,data_type,nullable,default_value,column_key,extra,comment,referenced_schema,referenced_table,referenced_column
logispro,branches,branch_id,varchar(36),NO,NULL,PRI,,,NULL,NULL,NULL
logispro,branches,branch_name,varchar(255),YES,NULL,,,,NULL,NULL,NULL
logispro,branches,destination_type,varchar(100),YES,NULL,,,,NULL,NULL,NULL
logispro,branches,city,varchar(100),YES,NULL,,,,NULL,NULL,NULL
logispro,branches,state,varchar(2),YES,NULL,,,,NULL,NULL,NULL
logispro,deliveries,delivery_id,varchar(36),NO,NULL,PRI,,,NULL,NULL,NULL
logispro,deliveries,order_id,varchar(36),YES,NULL,MUL,,,logispro,orders,order_id
logispro,deliveries,delivery_status,varchar(100),YES,NULL,,,,NULL,NULL,NULL
logispro,deliveries,delivery_datetime,datetime,YES,NULL,,,,NULL,NULL,NULL
logispro,deliveries,receiver_name,varchar(255),YES,NULL,,,,NULL,NULL,NULL
logispro,deliveries,occurrence,text,YES,NULL,,,,NULL,NULL,NULL
logispro,expeditions,expedition_id,varchar(36),NO,NULL,PRI,,,NULL,NULL,NULL
logispro,expeditions,order_id,varchar(36),YES,NULL,MUL,,,logispro,orders,order_id
logispro,expeditions,expedition_date,date,YES,NULL,,,,NULL,NULL,NULL
logispro,expeditions,vehicle_plate,varchar(20),YES,NULL,,,,NULL,NULL,NULL
logispro,expeditions,route_name,varchar(100),YES,NULL,,,,NULL,NULL,NULL
logispro,invoices,invoice_id,varchar(36),NO,NULL,PRI,,,NULL,NULL,NULL
logispro,invoices,order_id,varchar(36),YES,NULL,MUL,,,logispro,orders,order_id
logispro,invoices,invoice_number,varchar(100),YES,NULL,UNI,,,NULL,NULL,NULL
logispro,invoices,billing_date,date,YES,NULL,,,,NULL,NULL,NULL
logispro,invoices,total_value,"decimal(10,2)",YES,NULL,,,,NULL,NULL,NULL
logispro,order_items,order_item_id,int,NO,NULL,PRI,auto_increment,,NULL,NULL,NULL
logispro,order_items,order_id,varchar(36),YES,NULL,MUL,,,logispro,orders,order_id
logispro,order_items,product_id,varchar(36),YES,NULL,MUL,,,logispro,products,product_id
logispro,order_items,quantity,int,YES,NULL,,,,NULL,NULL,NULL
logispro,orders,order_id,varchar(36),NO,NULL,PRI,,,NULL,NULL,NULL
logispro,orders,branch_id,varchar(36),YES,NULL,MUL,,,logispro,branches,branch_id
logispro,orders,order_status,varchar(100),YES,NULL,,,,NULL,NULL,NULL
logispro,orders,separation_user,varchar(255),YES,NULL,,,,NULL,NULL,NULL
logispro,products,product_id,varchar(36),NO,NULL,PRI,,,NULL,NULL,NULL
logispro,products,product_name,varchar(255),NO,NULL,,,,NULL,NULL,NULL
logispro,products,category,varchar(100),YES,NULL,,,,NULL,NULL,NULL
logispro,products,barcode,varchar(255),YES,NULL,UNI,,,NULL,NULL,NULL
logispro,users,id,int,NO,NULL,PRI,auto_increment,,NULL,NULL,NULL
logispro,users,full_name,varchar(255),YES,NULL,,,,NULL,NULL,NULL
logispro,users,username,varchar(255),NO,NULL,UNI,,,NULL,NULL,NULL
logispro,users,password,varchar(255),NO,NULL,,,,NULL,NULL,NULL
logispro,users,role,varchar(50),NO,NULL,,,,NULL,NULL,NULL
logispro,users,phone,varchar(25),YES,NULL,,,,NULL,NULL,NULL
logispro,users,position,varchar(100),YES,NULL,,,,NULL,NULL,NULL
logispro,users,education,varchar(100),YES,NULL,,,,NULL,NULL,NULL
logispro,users,birth_date,date,YES,NULL,,,,NULL,NULL,NULL
logispro,users,id_document,varchar(50),YES,NULL,,,,NULL,NULL,NULL
logispro,users,employee_id,varchar(50),YES,NULL,UNI,,,NULL,NULL,NULL
logispro,users,vehicle_plate,varchar(15),YES,NULL,,,,NULL,NULL,NULL
logispro,users,profile_image,longblob,YES,NULL,,,,NULL,NULL,NULL
